Date;Close;High;Low;Open;Log_Returns
8/11/2025;6053.75;6053.75;6053.03;6053.03;-0.025867770293263544
8/08/2025;5961.58;5979.96;5880.82;5923.24;-0.015342368119876389
8/07/2025;5933.41;5936.73;5933.41;5936.73;-0.004736456720660971
8/06/2025;5748.89;5748.89;5747.54;5747.54;-0.03159229719905681
8/05/2025;5681.43;5681.43;5680.41;5680.41;-0.01180383108563985
8/04/2025;5764.49;5765.21;5764.49;5765.21;0.01451372332346552
8/01/2025;5646.38;5806.43;5626.66;5774.56;-0.02070205308084736
07/31/2025;5785.93;5788.88;5785.93;5786.14;0.02441447646008216
07/30/2025;5927.62;5927.62;5926.82;5927.31;0.0241936750622578
07/29/2025;5907.95;5907.95;5907.74;5907.84;-0.003323881842585091
07/28/2025;5944.36;5948.4;5944.36;5948.4;0.006143969324923221
07/25/2025;5890.49;5900.89;5753.7;5837.77;-0.009103684803524751
07/24/2025;5907.61;5908.47;5907.61;5908.35;0.0029021642495283798
07/23/2025;5959.71;5959.99;5958.88;5959.99;0.008780471871944653
07/22/2025;6070.86;6074.84;6070.86;6074.84;0.018478453255762244
07/21/2025;6000.31;6000.31;5998.99;5998.99;-0.011689140871029199
07/18/2025;5913.42;6088.19;5840.99;5978.32;-0.014586790309815321
07/17/2025;5981.94;5983.41;5981.69;5981.69;0.011520585816953647
07/16/2025;5855.49;5856.4;5855.49;5856.4;-0.021365247364676297
07/15/2025;5718.68;5718.68;5717.69;5717.69;-0.02364167317288629
07/14/2025;5784.45;5784.6;5783.96;5784.6;0.011435273130390156
7/11/2025;5628.38;5705.77;5521.82;5658.96;-0.027351626142079203
7/10/2025;5530.98;5531.37;5527.29;5527.29;-0.0174566414945723
7/09/2025;5310.72;5311.98;5310.72;5311.98;-0.040637595741103226
7/08/2025;5163.85;5164.24;5163.84;5163.84;-0.028044993969933745
7/07/2025;5129.88;5129.88;5128.32;5128.32;-0.006600158216103002
7/03/2025;5098.12;5196.25;5056.52;5184.26;-0.006210422776720842
7/02/2025;5150.36;5150.38;5148.99;5149.05;0.01019477082567231
7/01/2025;4977.74;4979.03;4977.74;4979.03;-0.03409064237496438
06/30/2025;5070.1;5071.49;5070.1;5071.49;0.018384568504249733
06/27/2025;5032.16;5052.01;4983.33;5008.12;-0.007511225879430638
06/26/2025;5019.85;5020.22;5019.85;5020.22;-0.002449262615906215
06/25/2025;5048.38;5048.59;5048.38;5048.48;0.005667346964155
06/24/2025;5012.0;5012.0;5011.25;5011.25;-0.007232362709453069
06/23/2025;4956.98;4957.25;4955.77;4955.77;-0.011038352701930826
06/20/2025;4869.19;5050.02;4825.0;5028.08;-0.017869085506153733
06/18/2025;4963.26;4998.7;4927.08;4989.37;0.019135184076129335
06/17/2025;4955.92;4957.1;4955.92;4957.1;-0.0014799613152951363
06/16/2025;5075.4;5075.4;5070.44;5070.44;0.023822517969315282
