Date;Close;High;Low;Open;Volume;Log_Returns;Monetary_Volume;Bid_Ask_Spread;Capitalizacion_Mercado
26/04/2023;28.422.701.171.875;29.995.837.890.625;27.324.548.828.125;2.830.005.859.375;31854242019;0.004057925868580612;905383601962621.1;26.712.890.625;905383601962621.1
27/04/2023;29.473.787.109.375;29.871.546.875;2.840.288.671.875;2.842.846.484.375;27153445027;0.03631313286229464;800314858011915.2;146.866.015.625;800314858011915.2
28/04/2023;2.934.026.171.875;29.572.791.015.625;28.929.609.375;29.481.013.671.875;17544464887;-0.004540602889751968;514759191499999.6;643.181.640.625;514759191499999.6
29/04/2023;2.924.848.828.125;29.452.455.078.125;2.908.804.296.875;2.933.656.640.625;10662634333;-0.0031328032278842735;311865935336004.44;364.412.109.375;311865935336004.44
30/04/2023;29.268.806.640.625;29.952.029.296.875;29.114.021.484.375;29.245.515.625;14652199272;0.0006944394889976754;428852387352074.4;8.380.078.125;428852387352074.4
1/05/2023;28.091.568.359.375;29.329.935.546.875;2.768.079.296.875;29.227.103.515.625;18655599976;-0.041052856211014906;524065062010958.6;1.649.142.578.125;524065062010958.6
2/05/2023;28.680.537.109.375;28.881.298.828.125;27.924.123.046.875;2.808.717.578.125;16432924527;0.020749270291120427;471305101712182.1;95.717.578.125;471305101712182.1
3/05/2023;2.900.630.859.375;29.259.533.203.125;28.178.388.671.875;28.680.494.140.625;19122972518;0.011294600825028724;554686842086908.5;108.114.453.125;554686842086908.5
4/05/2023;288.477.109.375;29.353.185.546.875;286.940.390.625;290.313.046.875;15548678514;-0.005482697825375376;448543783231989.06;659.146.484.375;448543783231989.06
5/05/2023;29.534.384.765.625;29.668.908.203.125;28.845.509.765.625;2.885.148.046.875;17936566518;0.02352452363535224;529745456916838.6;8.233.984.375;529745456916838.6
6/05/2023;28.904.623.046.875;29.820.126.953.125;28.468.966.796.875;29.538.859.375;15913866714;-0.02155362050914689;459984318586381.3;135.116.015.625;459984318586381.3
7/05/2023;28.454.978.515.625;29.157.517.578.125;284.413.671.875;28.901.623.046.875;11301355486;-0.015678412319992844;321579827551570.75;716.150.390.625;321579827551570.75
8/05/2023;276.942.734.375;28.663.271.484.375;27.310.134.765.625;2.845.045.703.125;19122903752;-0.027097480312589104;529594925426882.7;135.313.671.875;529594925426882.7
9/05/2023;27.658.775.390.625;27.821.400.390.625;273.756.015.625;27.695.068.359.375;14128593256;-0.0012826051136456092;390779587453203.1;445.798.828.125;390779587453203.1
10/05/2023;27.621.755.859.375;283.226.875;26.883.669.921.875;2.765.463.671.875;20656025026;-0.0013393336115541375;570555680293312.1;1.439.017.578.125;570555680293312.1
11/05/2023;270.007.890.625;2.762.194.140.625;26.781.826.171.875;276.210.859.375;16724343943;-0.0227376278728039;451570483013642.5;840.115.234.375;451570483013642.5
12/05/2023;26.804.990.234.375;27.055.646.484.375;258.784.296.875;26.987.662.109.375;19313599897;-0.007278017155925187;517700856629711.0;1.177.216.796.875;517700856629711.0
13/05/2023;26.784.078.125;27.030.482.421.875;26.710.873.046.875;2.680.776.953.125;9999171605;-0.0007804618022563855;267818593453601.62;319.609.375;267818593453601.62
14/05/2023;26.930.638.671.875;271.509.765.625;2.666.135.546.875;26.788.974.609.375;10014858959;0.0054570113859458225;269706547974619.22;48.962.109.375;269706547974619.22
15/05/2023;27.192.693.359.375;2.764.634.765.625;2.676.609.765.625;26.931.384.765.625;14413231792;0.009683688179724162;391934592437451.0;880.25;391934592437451.0
16/05/2023;27.036.650.390.625;272.993.046.875;26.878.947.265.625;27.171.513.671.875;12732238816;-0.005754943306692564;344237089558137.2;420.357.421.875;344237089558137.2
