Date;Close;High;Low;Open;Volume;Log_Returns;Monetary_Volume
23/02/2024;449.056.982.421.875;450.889.990.234.375;4.474.580.078.125;4.479.990.234.375;0;0.007732593425959969;0.0
26/02/2024;452.860.009.765.625;45.342.099.609.375;447.556.005.859.375;44.769.599.609.375;0;0.008433259193244877;0.0
27/02/2024;459.027.978.515.625;459.677.001.953.125;452.293.994.140.625;45.556.201.171.875;0;0.013528115065863374;0.0
28/02/2024;4.522.240.234.375;458.389.990.234.375;452.072.998.046.875;456.022.021.484.375;0;-0.014933479450758175;0.0
29/02/2024;442.856.005.859.375;455.027.001.953.125;4.427.419.921.875;454.810.009.765.625;0;-0.020933010123501843;0.0
1/03/2024;451.522.021.484.375;4.538.419.921.875;444.418.017.578.125;4449.0;0;0.01937947171908261;0.0
4/03/2024;44.650.400.390.625;453.106.982.421.875;444.597.998.046.875;4.530.740.234.375;0;-0.011175778127819466;0.0
5/03/2024;443.027.001.953.125;447.177.001.953.125;441.708.984.375;44.513.798.828.125;0;-0.00781764691384488;0.0
6/03/2024;4.443.080.078.125;44.592.900.390.625;442.985.009.765.625;4453.75;0;0.002887312537451914;0.0
7/03/2024;444.322.998.046.875;44.773.701.171.875;44.318.798.828.125;4.465.919.921.875;0;3,37E+10;0.0
8/03/2024;446.031.005.859.375;44.987.001.953.125;444.206.982.421.875;44.623.701.171.875;0;0.0038366984372473403;0.0
11/03/2024;445.493.017.578.125;4.503.509.765.625;44.491.298.828.125;44.631.201.171.875;0;-0.001206895905010766;0.0
12/03/2024;4.434.490.234.375;445.318.994.140.625;442.131.982.421.875;445.072.998.046.875;0;-0.0045987199357244825;0.0
13/03/2024;444.616.015.625;447.510.009.765.625;4.427.419.921.875;444.764.013.671.875;0;0.0026281698026533345;0.0
14/03/2024;435.635.986.328.125;4.435.509.765.625;432.477.978.515.625;442.843.994.140.625;0;-0.02040402254134545;0.0
15/03/2024;436.568.994.140.625;43.870.498.046.875;435.022.021.484.375;4.366.580.078.125;0;0.002139424078669656;0.0
18/03/2024;433.733.984.375;437.685.986.328.125;433.583.984.375;4.370.990.234.375;0;-0.006515018018731131;0.0
