Date;Close;High;Low;Open;Volume;Log_Returns;Monetary_Volume
5/09/2024;550.341.015.625;55.462.998.046.875;54.805.400.390.625;5.520.080.078.125;3521650000;-0.003022581014674196;19.381.084.376.757.800
6/09/2024;5.408.419.921.875;552.247.021.484.375;54.026.201.171.875;5.507.330.078.125;3822800000;-0.017410944507424406;20675307677343.75
9/09/2024;54.710.498.046.875;54.842.001.953.125;5.434.490.234.375;544.206.982.421.875;3825940000;0.011513534435818254;20.931.908.289.746.000
10/09/2024;549.552.001.953.125;549.791.015.625;544.172.021.484.375;5.490.509.765.625;3848180000;0.004462699977793541;21.147.750.228.759.700
11/09/2024;55.541.298.828.125;556.041.015.625;54.069.599.609.375;5.496.419.921.875;3839450000;0.01060855564984334;21.324.803.978.564.400
12/09/2024;5.595.759.765.625;56.007.099.609.375;5535.5;555.747.998.046.875;3655070000;0.00746735215680267;20452893646542.97
13/09/2024;562.602.001.953.125;563.627.001.953.125;560.164.990.234.375;560.333.984.375;3500790000;0.0053931422343560355;19.695.514.624.174.800
16/09/2024;563.308.984.375;56.360.498.046.875;560.452.978.515.625;56.152.099.609.375;3437070000;0.0012558408673102855;19.361.324.109.257.800
17/09/2024;5.634.580.078.125;567.081.005.859.375;56.140.498.046.875;5.655.509.765.625;3443600000;0.00026451509389645083;19403239957031.25
18/09/2024;5.618.259.765.625;5689.75;5.615.080.078.125;564.168.017.578.125;3691390000;-0.0029006587083132912;20739187916230.47
19/09/2024;571.364.013.671.875;573.356.982.421.875;5.686.419.921.875;57.026.298.828.125;4024530000;0.016834356892725128;22994716139428.71
20/09/2024;57.025.498.046.875;571.514.013.671.875;5.674.490.234.375;570.964.013.671.875;7867260000;-0.0019429136300157343;44863441976425.78
23/09/2024;571.856.982.421.875;572.535.986.328.125;570.422.021.484.375;571.189.990.234.375;3529550000;0.0028053344257131223;20183978123071.29
24/09/2024;573.293.017.578.125;573.531.982.421.875;5.698.990.234.375;572.766.015.625;3872710000;0.002508031103345345;22.201.976.021.049.800
25/09/2024;5.722.259.765.625;574.102.978.515.625;571.206.005.859.375;573.364.990.234.375;3624910000;-0.001862983206212128;20742676647011.72
26/09/2024;57.453.701.171.875;57.673.701.171.875;5.721.009.765.625;576.222.021.484.375;4391180000;0.004030542158199222;25.228.954.351.191.400
27/09/2024;5.738.169.921.875;576.377.978.515.625;572.733.984.375;575.535.986.328.125;3898530000;-0.0012540029000721238;22.370.427.585.527.300
30/09/2024;576.247.998.046.875;576.514.013.671.875;570.352.978.515.625;572.652.001.953.125;4425730000;0.004227603658441509;25503180523959.96
1/10/2024;5708.75;575.772.998.046.875;568.127.978.515.625;575.772.998.046.875;4025180000;-0.009367848694454447;22978746325000.0
2/10/2024;57.095.400.390.625;57.196.298.828.125;5674.0;569.814.013.671.875;3829050000;0.00013838132698647728;21.862.114.286.572.200
3/10/2024;569.993.994.140.625;571.877.978.515.625;56.773.701.171.875;569.818.994.140.625;3597450000;-0.0016828286544586894;20.505.248.942.211.900
4/10/2024;575.106.982.421.875;57.532.099.609.375;5.702.830.078.125;573.747.998.046.875;3479400000;0.008930255699186382;20010272346386.72
7/10/2024;569.593.994.140.625;573.933.984.375;568.685.009.765.625;57.377.998.046.875;3637790000;-0.009632263829388773;20.720.633.359.448.200
8/10/2024;57.511.298.828.125;575.760.009.765.625;571.456.005.859.375;571.914.013.671.875;3393400000;0.009642706804694385;19.515.884.144.335.900
9/10/2024;57.920.400.390.625;57.967.998.046.875;574.502.001.953.125;57.517.998.046.875;3650340000;0.007088231016994585;21.142.915.436.191.400
10/10/2024;57.800.498.046.875;579.502.978.515.625;5.764.759.765.625;577.835.986.328.125;3208790000;-0.0020722685059824846;18.546.966.012.783.200
11/10/2024;581.502.978.515.625;58.221.298.828.125;577.508.984.375;577.508.984.375;3208720000;0.00603360870729872;18.658.802.372.226.500
14/10/2024;585.985.009.765.625;587.141.015.625;582.956.982.421.875;582.981.005.859.375;3005250000;0.007678114574594323;17.610.314.505.981.400
15/10/2024;5.815.259.765.625;587.035.986.328.125;580.447.998.046.875;5.866.740.234.375;3882120000;-0.0076385660375134215;22.575.536.241.328.100
16/10/2024;584.247.021.484.375;584.652.001.953.125;580.833.984.375;5.816.580.078.125;3467230000;0.004668232782779766;20.257.188.003.012.600
17/10/2024;584.147.021.484.375;58.784.599.609.375;5840.25;58.756.201.171.875;3480010000;-0.00017117512853816633;20328374762358.4
18/10/2024;5.864.669.921.875;5.872.169.921.875;584.610.986.328.125;585.943.017.578.125;3374490000;0.003963686942774387;19790270004667.97
21/10/2024;585.397.998.046.875;5.866.919.921.875;58.247.900.390.625;585.781.982.421.875;3407010000;-0.001824432756419033;19.944.568.333.256.800
22/10/2024;58.512.001.953.125;58.630.400.390.625;5.821.169.921.875;58.327.001.953.125;3342080000;-0.0004749666671957937;19555179148750.0
23/10/2024;5.797.419.921.875;583.485.009.765.625;576.241.015.625;5834.5;3532650000;-0.009233824267679564;20480255487011.72
